Source Weight Destination Color
National Vulnerability Database [212631] CVE Count #F88E8E
CVE Count [5583] 10 #FF7A7B
CVE Count [26211] 9-9.9 #FEAB77
CVE Count [19322] 8-8.9 #FDC272
CVE Count [58433] 7-7.9 #FEE588
CVE Count [32983] 6-6.9 #FEFA7F
CVE Count [37632] 5-5.9 #EDFEAE
CVE Count [32336] 0-4.9 #C4F188
CVE Count [131] CVSS unscored #CCCCCC
10 [7] 97.5% #E93F3B
10 [635] 77.8% #FFD68C
10 [645] 17.9% #D9AC5E
10 [2368] 1% #FFFF8B
10 [1774] .17% #FFFF8B
10 [146] .061% #EDFEB0
10 [8] .042% #C4F188
9-9.9 [26] 97.5% #E93F3B
9-9.9 [1658] 77.8% #FFD68C
9-9.9 [1594] 17.9% #D9AC5E
9-9.9 [5191] 1% #FFFF8B
9-9.9 [11437] .17% #FFFF8B
9-9.9 [5989] .061% #EDFEB0
9-9.9 [316] .042% #C4F188
8-8.9 [5] 97.5% #E93F3B
8-8.9 [279] 77.8% #FFD68C
8-8.9 [358] 17.9% #D9AC5E
8-8.9 [2524] 1% #FFFF8B
8-8.9 [6701] .17% #FFFF8B
8-8.9 [7112] .061% #EDFEB0
8-8.9 [2343] .042% #C4F188
7-7.9 [11] 97.5% #E93F3B
7-7.9 [982] 77.8% #FFD68C
7-7.9 [1316] 17.9% #D9AC5E
7-7.9 [8708] 1% #FFFF8B
7-7.9 [14053] .17% #FFFF8B
7-7.9 [19109] .061% #EDFEB0
7-7.9 [14253] .042% #C4F188
7-7.9 [1] EPSS unscored #CCCCCC
6-6.9 [2] 97.5% #E93F3B
6-6.9 [253] 77.8% #FFD68C
6-6.9 [398] 17.9% #D9AC5E
6-6.9 [3416] 1% #FFFF8B
6-6.9 [7122] .17% #FFFF8B
6-6.9 [14035] .061% #EDFEB0
6-6.9 [7757] .042% #C4F188
5-5.9 [3] 97.5% #E93F3B
5-5.9 [427] 77.8% #FFD68C
5-5.9 [469] 17.9% #D9AC5E
5-5.9 [5159] 1% #FFFF8B
5-5.9 [9427] .17% #FFFF8B
5-5.9 [8617] .061% #EDFEB0
5-5.9 [13530] .042% #C4F188
0-4.9 [4] 97.5% #E93F3B
0-4.9 [293] 77.8% #FFD68C
0-4.9 [203] 17.9% #D9AC5E
0-4.9 [1820] 1% #FFFF8B
0-4.9 [9934] .17% #FFFF8B
0-4.9 [8209] .061% #EDFEB0
0-4.9 [11873] .042% #C4F188
CVSS unscored [1] .061% #EDFEB0
CVSS unscored [130] .042% #C4F188


// Node color:
:National Vulnerability Database #ED0401
:CVE Count #F88E8E
:10 #FF0D00
:9-9.9 #FFA500
:8-8.9 #FDA935
:7-7.9 #FDDB56
:6-6.9 #FDF54A
:5-5.9 #E1FD82
:0-4.9 #ACEA57
:97.5% #FF0D00
:77.8% #FFA500
:17.9% #FDA935
:1% #FDDB56
:.17% #FDF54A
:.061% #E1FD82
:.042% #ACEA57
:CVSS unscored #A4A4A4
:EPSS unscored #A4A4A4
